file,line,label,scope
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,26,eq:p01-developer-type,baseline
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,44,eq:p01-project-draw,baseline
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,62,eq:p01-class-mixture,baseline
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,83,eq:p01-institutional-wedge,baseline
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,101,eq:p01-route-domain,baseline
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,126,eq:p01-planned-intensity,baseline
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,135,eq:p01-downstream-probability,baseline
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,189,eq:p01-only-direct-policy-arrow,baseline
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,201,eq:p01-anticipated-channel,baseline
paper/model_rebuild/revision_20260907/01_primitives_and_timing.tex,215,eq:p01-realization-channel,baseline
paper/model_rebuild/revision_20260907/02_demand_profit_derivation.tex,31,eq:p02-demand,baseline
paper/model_rebuild/revision_20260907/02_demand_profit_derivation.tex,38,eq:p02-pricing-problem,baseline
paper/model_rebuild/revision_20260907/02_demand_profit_derivation.tex,49,eq:p02-price-foc,baseline
paper/model_rebuild/revision_20260907/02_demand_profit_derivation.tex,55,eq:p02-optimal-price,baseline
paper/model_rebuild/revision_20260907/02_demand_profit_derivation.tex,70,eq:p02-price-soc,baseline
paper/model_rebuild/revision_20260907/02_demand_profit_derivation.tex,91,eq:p02-operating-profit,baseline
paper/model_rebuild/revision_20260907/02_demand_profit_derivation.tex,104,eq:p02-profit-derivatives,baseline
paper/model_rebuild/revision_20260907/02_demand_profit_derivation.tex,129,eq:p02-present-value,baseline
paper/model_rebuild/revision_20260907/02_demand_profit_derivation.tex,139,eq:p02-return-derivatives,baseline
paper/model_rebuild/revision_20260907/03_internal_external_technologies.tex,23,eq:p03-internal-cost,baseline
paper/model_rebuild/revision_20260907/03_internal_external_technologies.tex,40,eq:p03-internal-setup,baseline
paper/model_rebuild/revision_20260907/03_internal_external_technologies.tex,55,eq:p03-external-cost,baseline
paper/model_rebuild/revision_20260907/03_internal_external_technologies.tex,65,eq:p03-capacity-requirement,baseline
paper/model_rebuild/revision_20260907/03_internal_external_technologies.tex,74,eq:p03-external-fixed-cost,baseline
paper/model_rebuild/revision_20260907/03_internal_external_technologies.tex,80,eq:p03-holder-burden,baseline
paper/model_rebuild/revision_20260907/03_internal_external_technologies.tex,111,eq:p03-policy-invariance,baseline
paper/model_rebuild/revision_20260907/04_route_values_and_sorting.tex,20,eq:p04-internal-value,baseline
paper/model_rebuild/revision_20260907/04_route_values_and_sorting.tex,36,eq:p04-entrusted-value,baseline
paper/model_rebuild/revision_20260907/04_route_values_and_sorting.tex,48,eq:p04-outside-values,baseline
paper/model_rebuild/revision_20260907/04_route_values_and_sorting.tex,65,eq:p04-optimized-value,baseline
paper/model_rebuild/revision_20260907/04_route_values_and_sorting.tex,78,eq:p04-route-choice,baseline
paper/model_rebuild/revision_20260907/04_route_values_and_sorting.tex,99,eq:p04-binary-value-effect,baseline
paper/model_rebuild/revision_20260907/04_route_values_and_sorting.tex,123,eq:p04-value-gap,baseline
paper/model_rebuild/revision_20260907/04_route_values_and_sorting.tex,134,eq:p04-gap-slope,baseline
paper/model_rebuild/revision_20260907/04_route_values_and_sorting.tex,156,eq:p04-cutoff,baseline
paper/model_rebuild/revision_20260907/04_route_values_and_sorting.tex,163,eq:p04-cutoff-sorting,baseline
paper/model_rebuild/revision_20260907/04_route_values_and_sorting.tex,184,eq:p04-cutoff-derivatives,baseline
paper/model_rebuild/revision_20260907/05_rd_problem.tex,23,eq:p05-planned-intensity,baseline
paper/model_rebuild/revision_20260907/05_rd_problem.tex,37,eq:p05-advancement-cost,baseline
paper/model_rebuild/revision_20260907/05_rd_problem.tex,60,eq:p05-expected-value,baseline
paper/model_rebuild/revision_20260907/05_rd_problem.tex,84,eq:p05-advancement-objective,baseline
paper/model_rebuild/revision_20260907/05_rd_problem.tex,100,eq:p05-kkt,baseline
paper/model_rebuild/revision_20260907/05_rd_problem.tex,107,eq:p05-foc,baseline
paper/model_rebuild/revision_20260907/05_rd_problem.tex,112,eq:p05-soc,baseline
paper/model_rebuild/revision_20260907/05_rd_problem.tex,127,eq:p05-optimal-advancement,baseline
paper/model_rebuild/revision_20260907/05_rd_problem.tex,150,eq:p05-binary-channel,baseline
paper/model_rebuild/revision_20260907/05_rd_problem.tex,190,eq:p05-value-gap,baseline
paper/model_rebuild/revision_20260907/05_rd_problem.tex,197,eq:p05-value-gap-foc,baseline
paper/model_rebuild/revision_20260907/06_cmo_supply_demand_equilibrium.tex,22,eq:p06-supplier-problem,baseline
paper/model_rebuild/revision_20260907/06_cmo_supply_demand_equilibrium.tex,42,eq:p06-supplier-capacity,baseline
paper/model_rebuild/revision_20260907/06_cmo_supply_demand_equilibrium.tex,55,eq:p06-capacity-derivatives,baseline
paper/model_rebuild/revision_20260907/06_cmo_supply_demand_equilibrium.tex,63,eq:p06-aggregate-supply,baseline
paper/model_rebuild/revision_20260907/06_cmo_supply_demand_equilibrium.tex,88,eq:p06-entrusted-capacity,baseline
paper/model_rebuild/revision_20260907/06_cmo_supply_demand_equilibrium.tex,114,eq:p06-omega-price-envelope,baseline
paper/model_rebuild/revision_20260907/06_cmo_supply_demand_equilibrium.tex,124,eq:p06-advancement-price-response,baseline
paper/model_rebuild/revision_20260907/06_cmo_supply_demand_equilibrium.tex,143,eq:p06-study-demand,baseline
paper/model_rebuild/revision_20260907/06_cmo_supply_demand_equilibrium.tex,178,eq:p06-total-demand,baseline
paper/model_rebuild/revision_20260907/06_cmo_supply_demand_equilibrium.tex,188,eq:p06-market-clearing,baseline
paper/model_rebuild/revision_20260907/06_cmo_supply_demand_equilibrium.tex,193,eq:p06-existence-boundaries,baseline
paper/model_rebuild/revision_20260907/07_equilibrium_definition.tex,18,eq:p07-equilibrium-collection,baseline
paper/model_rebuild/revision_20260907/07_equilibrium_definition.tex,36,eq:p07-route-optimality,baseline
paper/model_rebuild/revision_20260907/07_equilibrium_definition.tex,49,eq:p07-advancement-optimality,baseline
paper/model_rebuild/revision_20260907/07_equilibrium_definition.tex,63,eq:p07-capacity-optimality,baseline
paper/model_rebuild/revision_20260907/07_equilibrium_definition.tex,72,eq:p07-market-clearing,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,52,eq:p15-price-profit-derivatives,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,59,eq:p15-return-derivatives,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,102,eq:p15-gap-capability,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,115,eq:p15-cutoff-derivatives,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,127,eq:p15-fixed-project-gain,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,175,eq:p15-advancement-partials,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,185,eq:p15-advancement-price,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,207,eq:p15-fixed-advancement-gain,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,245,eq:p15-supplier-partials,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,264,eq:p15-study-demand-slope,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,286,eq:p15-equilibrium-ift,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,324,eq:p15-equilibrium-price-order,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,343,eq:p15-value-attenuation,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,350,eq:p15-advancement-attenuation,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,385,eq:p15-planning-change,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,405,eq:p15-retained-outcome-change,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,459,eq:p15-infinite-price-boundary,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,470,eq:p15-zero-advantage-boundary,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,499,eq:p15-quadratic-boundary,baseline
paper/model_rebuild/revision_20260907/08_comparative_statics.tex,511,eq:p15-novelty-boundary,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,26,eq:p08-sorting-slope,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,78,eq:p08-old-new-values,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,85,eq:p08-positive-part-gain,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,93,eq:p08-relevant-set,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,147,eq:p08-expected-gain,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,159,eq:p08-advancement-change,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,176,eq:p08-capability-response,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,197,eq:p08-manufacturing-response,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,248,eq:p08-class-gain,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,291,eq:p08-excess-demand,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,334,eq:p08-price-order,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,362,eq:p08-scarcity-value-bounds,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,379,eq:p08-scarcity-advancement-bounds,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,416,eq:p08-planning-arrival,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,436,eq:p08-retained-outcome,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,446,eq:p08-entrusted-outcome,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,462,eq:p08-type-outcome,baseline
paper/model_rebuild/revision_20260907/08_required_propositions.tex,486,eq:p08-outcome-decomposition,baseline
paper/model_rebuild/revision_20260907/09_observed_outcomes.tex,22,eq:p09-outcome-hierarchy,baseline
paper/model_rebuild/revision_20260907/09_observed_outcomes.tex,43,eq:p09-anticipated-chain,baseline
paper/model_rebuild/revision_20260907/09_observed_outcomes.tex,56,eq:p09-realized-chain,baseline
paper/model_rebuild/revision_20260907/09_observed_outcomes.tex,78,eq:p09-type-mixture,baseline
paper/model_rebuild/revision_20260907/09_observed_outcomes.tex,107,eq:p09-identification-boundary,baseline
paper/model_rebuild/revision_20260907/10_empirical_mapping.tex,183,eq:p10-anticipated-interface,baseline
paper/model_rebuild/revision_20260907/10_empirical_mapping.tex,197,eq:p10-realized-interface,baseline
paper/model_rebuild/revision_20260907/11_extensions_not_baseline.tex,28,eq:p11-logit-extension,extension
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,55,eq:p16m-policy,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,70,eq:p16m-planning,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,102,eq:p16m-return,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,116,eq:p16m-internal,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,132,eq:p16m-entrusted,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,141,eq:p16m-outside,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,157,eq:p16m-route-choice,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,174,eq:p16m-gap,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,194,eq:p16m-omega,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,205,eq:p16m-advancement-problem,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,214,eq:p16m-advancement,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,228,eq:p16m-supplier,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,243,eq:p16m-project-demand,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,254,eq:p16m-demand,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,268,eq:p16m-clearing,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,285,eq:p16m-equilibrium,baseline
paper/model_rebuild/revision_20260907/13_main_text_model_candidate.tex,331,eq:p16m-retained-outcome,baseline
